納品データ,member_ id,種別,ニックネーム,スレッドURL,スレッドタイトル,スレッド本文,ルーム,テンション,タグ1,タグ2,タグ3,タグ4,タグ5,投稿日時
0320-0326,,,じゅえる,,Ritaってリアーナに顔似てませんか？,初めて彼女の顔を見たとき、リアーナかと思ったんですけど髪型が似てた時だったのかなぁ。みなさんも、リアーナに似てると思った事ありませんか？,Rita Ora,みんなでわいわい,歌手,,,,,2014/4/28 11:44
0320-0326,,,レオレオ,,ROCKET FROM THE CRYPTが再結成した喜びを！,ROCKET FROM THE CRYPTが再結成した喜びをここに吐き出してしまいましょうー！,ROCKET FROM THE CRYPT,みんなでわいわい,歌手,,,,,2014/4/29 4:27
0320-0326,,,レオレオ,,Roll Deepの心に響いた曲を教えてー！,Roll Deepの心に響いた曲を教えてくださいー！皆さんのベストをぜひ！,Roll Deep,みんなでわいわい,歌手,,,,,2014/4/30 1:39
0320-0326,,,NYAH☆,,セクスミスは何から知りました？,コラボも多くていろんなアーティストがカバーもしてるので、セクスミスとの出会い曲は何だったか話しませんか？,RON SEXSMITH,みんなでわいわい,ワールドミュージック,,,,,2014/4/27 23:12
0320-0326,,,NYAH☆,,ロイ・エアーズのオススメアルバム,活動時期が長くて、アルバムもたくさん出てますが、どのアルバムが好きですか？みんなで語りあいましょう。,Roy Ayers,みんなでわいわい,レゲエ,,,,,2014/4/28 1:25
0320-0326,,,じゅえる,,ルーボイの格好良さを語ろう！,"みんなは、ルーボイのカッコいいところってどういうところだと思いますか？
曲や格好、何でもいいので語って下さい。",RUDEBWOY FACE,みんなでわいわい,歌手,,,,,2014/4/28 16:54
0320-0326,,,NYAH☆,,S.T.Mの最近の活動は？,アルバム「03」以降の活動に詳しい方！アルバムリリースとかされているんでしょうか？どんどん情報交換しましょう！,S.T.M,みんなでわいわい,ヒップホップ,,,,,2014/4/28 7:59
0320-0326,,,レオレオ,,SA.RI.NAのコラボ曲て好きな曲はありますか？,SA.RI.NAのコラボ曲て好きな曲はありますか？ぜひ教えてくださいー！,SA.RI.NA,みんなでわいわい,歌手,,,,,2014/4/28 1:51
0320-0326,,,レオレオ,,Sammy Hagarがボーカリストだった時代,Sammy Hagarがボーカリストだった時代ってどんな感じだったのですか？,Sammy Hagar,みんなでわいわい,歌手,,,,,2014/4/29 19:36
0320-0326,,,NYAH☆,,ショーン・キングストンのお気に入りの１曲は？,デビュー曲の「ビューティフル・ガールズ」から話題でしたが、みなさんのお気に入りの曲を自由に語りませんか？,Sean Kingston,みんなでわいわい,レゲエ,,,,,2014/4/29 2:22
0320-0326,,,レオレオ,,Sean Paulのこれからあるイベントについて,Sean Paulのこれからあるイベントについて情報ｌ交換し合いましょうーー！,Sean Paul,みんなでわいわい,レゲエ,,,,,2014/4/28 21:10
0320-0326,,,レオレオ,,SEEDAの結婚生活について語りましょう！,SEEDAの結婚生活について語りましょう！やっぱり良い結婚生活をされているんですかね？,SEEDA,みんなでわいわい,ヒップホップ,,,,,2014/4/28 23:59
0320-0326,,,レオレオ,,SELAH SUEって今の人聞くのですか？,SELAH SUEって今の人聞くのでしょうか？若い方で聴いた人はいませんかー？,SELAH SUE,みんなでわいわい,歌手,,,,,2014/4/29 10:42
0320-0326,,,レオレオ,,Shabba Ranksってどういう人だったの？,Shabba Ranksってどういう人だったのですかー？皆さんが知っている情報をぜひ！,Shabba Ranks,みんなでわいわい,レゲエ,,,,,2014/4/29 0:08
0320-0326,,,レオレオ,,Shaggyがノミネートした賞を全部！,Shaggyがノミネートした賞を全部教えてくださいー！どんな賞をとったのですかー？,Shaggy,みんなでわいわい,レゲエ,,,,,2014/4/29 8:35
0320-0326,,,レオレオ,,Sheryl Crowは実際どんな職業に向いている？,Sheryl Crowは実際どんな職業に向いている方だと思いますかー！？多彩な方ですもんね！,Sheryl Crow,みんなでわいわい,歌手,,,,,2014/4/29 6:21
0320-0326,,,NYAH☆,,SISTER KAYAのカバー癒されるよね,SISTER KAYAのたからものシリーズ好きな方、どの曲が好きですか？気軽に話しましょう。,SISTER KAYA,みんなでわいわい,レゲエ,,,,,2014/4/27 23:57
0320-0326,,,レオレオ,,Sister Sledgeで好きなメンバーは誰ですか？,Sister Sledgeで好きなメンバーは誰ですか？全員姉妹なので決めづらいですか？,Sister Sledge,みんなでわいわい,歌手,,,,,2014/4/28 5:52
0320-0326,,,レオレオ,,SIZZLAの心に残った曲ってありますか？,SIZZLAの心に残った曲ってありますか？知っている人はあるのでしょうか。。,SIZZLA,みんなでわいわい,レゲエ,,,,,2014/4/29 20:49
0320-0326,,,アレグロ♪,,SKE48　松井珠理奈,"まだ16歳？17歳？　すごい存在感ですね。
ちょっと応援しちゃってます。AKBでもセンター狙って頑張って欲しい！",SKE48,みんなでわいわい,アイドル,,,,,2014/4/27 21:52
0320-0326,,,NYAH☆,,スクリレックスのあるばむについて,待望のニューアルバムが発売されましたね。新曲について楽しく話しましょう♪,Skrillex,みんなでわいわい,ダンス,,,,,2014/4/29 12:37
0320-0326,,,NYAH☆,,スライ&ザ・ファミリー・ストーンの好きなアルバム,名盤が多くて語り尽くせませんが、好きなアルバムはズバリなんでしょう？,Sly & The Family Stone,みんなでわいわい,レゲエ,,,,,2014/4/28 4:06
0320-0326,,,レオレオ,,SMUJJIの人生を振り返ってみよう！,SMUJJIの人生を振り返ってみませんか！学歴とか経歴とか情報交換しましょう！,SMUJJI,みんなでわいわい,レゲエ,,,,,2014/4/28 1:46
0320-0326,,,レオレオ,,SO.ON Projectの中で好きな人だれですか？,SO.ON Projectの中で好きな人だれですか？全員かわいいと思いますが決めてください！,SO.ON Project,みんなでわいわい,歌手,,,,,2014/4/30 1:05
0320-0326,,,NYAH☆,,ソランジュのズバリ好きなとこ！,ソランジュのアルバム、曲、ルックスなど好きな所をどんどんあげていこう！,Solange,みんなでわいわい,R&B,,,,,2014/4/29 9:34
0320-0326,,,レオレオ,,Something Corporateを知ったきっかけ曲,Something Corporateを知ったきっかけ曲って皆さんはなんですかー！？ぜひ教えて！,Something Corporate,みんなでわいわい,歌手,,,,,2014/4/30 7:05
0320-0326,,,レオレオ,,あなたにとってのSPARKSの名曲とは！？,あなたにとってのSPARKSの名曲をぜひ皆さんで語り合うというのはいかがですか！？,SPARKS,みんなでわいわい,歌手,,,,,2014/4/29 11:00
0320-0326,,,レオレオ,,Speechの出したアルバムでどれが？,Speechの出したアルバムでどれが皆さんはお好きですかー！？ぜひ教えてー！,Speech,みんなでわいわい,歌手,,,,,2014/4/29 5:24
0320-0326,,,NYAH☆,,Spineshankの好きなアルバムは？,Spineshank好きな方！１番好きなアルバムは何ですか？みんなで語りましょう。,Spineshank,みんなでわいわい,歌手,,,,,2014/4/29 13:26
0320-0326,,,NYAH☆,,Steel Pantherの新譜が楽しみ,もうすぐアルバムが発売されるの楽しみですね！新曲が聞けるまで、Steel Pantherについて自由に語りましょう。,Steel Panther,みんなでわいわい,歌手,,,,,2014/4/29 2:51
0320-0326,,,レオレオ,,STEREOPHONICSの大好きなアルバム！,STEREOPHONICSの大好きなアルバムをぜひ紹介しあうことにいたしましょう！,STEREOPHONICS,みんなでわいわい,歌手,,,,,2014/4/28 15:29
0320-0326,,,NYAH☆,,ズバリ！スティービーの好きな曲,本当に名曲揃いで１曲に絞れないと思いますが、好きな曲をみんなでどんどんあげていこう！,Stevie Wonder,みんなでわいわい,歌手,,,,,2014/4/29 6:50
0320-0326,,,レオレオ,,Stingを知ったきっかけってなんですか？,Stingを知ったきっかけってなんですか？曲とかイベントとかが多いのでしょうか？,Sting,みんなでわいわい,ソウル,,,,,2014/4/29 2:43
0320-0326,,,レオレオ,,Stone Sourのハートが響いた曲！,Stone Sourのハートが響いた曲をあつーく語りあうことにしましょうよー！,Stone Sour,みんなでわいわい,歌手,,,,,2014/4/28 11:04
0320-0326,,,NYAH☆,,ＳＹＬは復活しないのか？,もう活動しなくなって大分経ちますが、復活はないですかね・・・今も好きで聞いている曲とかありますか？,Strapping Young Lad,みんなでわいわい,歌手,,,,,2014/4/30 4:23
0320-0326,,,レオレオ,,Stumble Bumの好きな曲を紹介してー！,Stumble Bumの好きな曲を紹介してくださいー！この曲がオススメ！っていう曲をぜひ！,Stumble Bum,みんなでわいわい,歌手,,,,,2014/4/27 21:33
0320-0326,,,レオレオ,,Swedish House Mafiaを知ったアルバム,Swedish House Mafiaを知ったアルバムってありますか？もちろん曲でも良いんですが。,Swedish House Mafia,みんなでわいわい,歌手,,,,,2014/4/29 15:32
0320-0326,,,レオレオ,,Takujiが似合う趣味ってなんですかー？,Takujiが似合う趣味ってなんだと思いますかー！？創作はいっぱいありますもんね！,Takuji,みんなでわいわい,歌手,,,,,2014/4/28 9:36
0320-0326,,,レオレオ,,TAK-Zの似合うかっこって？,TAK-Zの似合うかっこってなんだと思いますかー！？ファッションについてです！,TAK-Z,みんなでわいわい,歌手,,,,,2014/4/29 22:07
0320-0326,,,レオレオ,,The Emotionsの好きな曲を語りましょう！,The Emotionsの好きな曲を語りましょう！皆さんはどんな曲がお好きでしたか？,The Emotions,みんなでわいわい,歌手,,,,,2014/4/28 19:46
0320-0326,,,レオレオ,,The Hellacoptersが活動復活するために！,The Hellacoptersが活動復活するために！私ができることを探そうではありませんか！,The Hellacopters,みんなでわいわい,歌手,,,,,2014/4/29 3:09
0320-0326,,,レオレオ,,THE INRUN PUBLICSの好きな曲を教えてー！,THE INRUN PUBLICSの好きな曲を教えてください！この曲はオススメっていう曲です！,THE INRUN PUBLICS,みんなでわいわい,歌手,,,,,2014/4/28 10:30
0320-0326,,,レオレオ,,The Isley Brothersってどんな方々だったのですか？,昔のことはあんまり知らなくて、The Isley Brothersってどんな方々だったのですか？,The Isley Brothers,みんなでわいわい,歌手,,,,,2014/4/27 22:55
0320-0326,,,レオレオ,,The Jacksonsメンバーが似合う髪形,The Jacksonsメンバーが似合う髪形はどんな髪型ですか！？アフロ以外でー！,The Jacksons,みんなでわいわい,ファッション,,,,,2014/4/28 12:57
0320-0326,,,レオレオ,,The Lumineersのビデオで気に入った,The Lumineersのビデオで気に入った映像とかありますか？youtubeでもＯＫ－！,The Lumineers,みんなでわいわい,歌手,,,,,2014/4/30 5:17
0320-0326,,,レオレオ,,THE MAD CAPSULE MARKETSが活動再開するために！,THE MAD CAPSULE MARKETSが活動再開するために私たちにはなにができますかー？,THE MAD CAPSULE MARKETS,みんなでわいわい,歌手,,,,,2014/4/29 18:52
0313-0319,,,レオレオ,,The Temptationsの好きな曲はなんですか？,The Temptationsの好きな曲はなんですかー？これを聴いて好きになった曲とかぜひ！,The Temptations,みんなでわいわい,歌手,,,,,2014/4/28 12:17
0313-0319,,,レオレオ,,THE THREE DEGREESの一番良かったトリオ,THE THREE DEGREESの一番良かったトリオってどのトリオだったと思いますかー！？,THE THREE DEGREES,みんなでわいわい,歌手,,,,,2014/4/28 12:28
0313-0319,,,レオレオ,,あなたの思うThe Trammpsの名曲,あなたの思うThe Trammpsの名曲を１つだけぜひ教えてくださいー！,The Trammps,みんなでわいわい,歌手,,,,,2014/4/28 1:11
0313-0319,,,レオレオ,,The Weather Girlsって今なにをしているの？,The Weather Girlsって今なにをしているのですかー？まだしっかり活動していますか？,The Weather Girls,みんなでわいわい,歌手,,,,,2014/4/29 11:11
0313-0319,,,レオレオ,,The Weekndの良かった曲を語りましょう！,The Weekndの良かった曲を語りましょう！この曲ほんとに良かったという曲です！,The Weeknd,みんなでわいわい,歌手,,,,,2014/4/28 23:49
0313-0319,,,レオレオ,,The Yellow Monkeyが活動再開するために！,The Yellow Monkeyが活動再開するためにあなたができることを考えましょう！,The Yellow Monkey,みんなでわいわい,歌手,,,,,2014/4/27 19:18
0313-0319,,,レオレオ,,The-Dreamが手がけた作品を,The-Dreamが手がけた作品ってどれくらいありますか？情報交換しましょうー！,The-Dream,みんなでわいわい,歌手,,,,,2014/4/30 0:49
0313-0319,,,レオレオ,,THEGZETTEのメンバー誰が好き？,THEGZETTEのメンバー誰が好きですか！？なんで好きかも教えてくださいー！,THEGZETTE,みんなでわいわい,歌手,,,,,2014/4/28 19:50
0313-0319,,,レオレオ,,Tiestoの年収ってどれくらいなんですかね？,Tiestoの年収ってどれくらいなんですかね？世界１位と言われたくらい？,Tiesto,みんなでわいわい,歌手,,,,,2014/4/29 21:00
0313-0319,,,レオレオ,,Timbalandの曲でよかった曲とか教えてー！,Timbalandの曲でよかった曲とか教えてくださいー！みんなで語りましょうー！,Timbaland,みんなでわいわい,歌手,,,,,2014/4/29 18:20
0313-0319,,,レオレオ,,Tinie Tempahのこれからの活動について,Tinie Tempahのこれからの活動について語り合いましょうー！どのように成長するとか！,Tinie Tempah,みんなでわいわい,歌手,,,,,2014/4/28 20:32
0313-0319,,,レオレオ,,TOM ODELLの家系について！,TOM ODELLの家系について語りましょう！お父さんはどんな人でみたいな感じで！,TOM ODELL,みんなでわいわい,歌手,,,,,2014/4/28 0:51
0313-0319,,,レオレオ,,Toni Braxtonが出したアルバムでよかった,Toni Braxtonが出したアルバムでよかったアルバムをみんなで語り合いましょうー！,Toni Braxton,みんなでわいわい,歌手,,,,,2014/4/29 22:04
0313-0319,,,レオレオ,,U-ROYの感動した曲を語りましょうー！,U-ROYの感動した曲を語りましょうー！心に響いた曲とかあればぜひ！,U-ROY,みんなでわいわい,レゲエ,,,,,2014/4/28 4:01
0313-0319,,,レオレオ,,Van Halenがすごい理由を語りましょう！,全国的に人気をほこってきましたVan Halenがすごい理由を語りましょう！,Van Halen,みんなでわいわい,歌手,,,,,2014/4/27 18:32
0313-0319,,,レオレオ,,Vanessa Williamsの名曲といえば！？,あなたの思うVanessa Williamsの名曲といえばなんですかー！？名曲交換しましょう！,Vanessa Williams,みんなでわいわい,歌手,,,,,2014/4/27 21:55
0313-0319,,,レオレオ,,VIXXの曲で好きな曲はありますか？,VIXXの曲で好きな曲はありますか？オススメとかぜひ教えてくださいませんか！,VIXX,みんなでわいわい,歌手,,,,,2014/4/29 7:01
0313-0319,,,レオレオ,,Voice Mailのメンバーで好きな人！,Voice Mailのメンバーで誰が好きですかー！？この人がすごく良いよ！っていう人をぜひ！,Voice Mail,みんなでわいわい,レゲエ,,,,,2014/4/29 13:17
0313-0319,,,レオレオ,,Vybz Kartelのこれからはどうなるのかな？,Vybz Kartelのこれからはどうなると思いますかー？音楽活動してくれないのかな。。,Vybz Kartel,みんなでわいわい,レゲエ,,,,,2014/4/28 18:16
0313-0319,,,レオレオ,,Wayne Wonderの心に残った曲,Wayne Wonderの心に残った曲ってなんですか？感動した曲とかをぜひ！,Wayne Wonder,みんなでわいわい,レゲエ,,,,,2014/4/28 8:38
0313-0319,,,レオレオ,,Whiteberryが活動していたらどんなことを,Whiteberryが活動していたらどんなことをしていると思いますかー！？,Whiteberry,みんなでわいわい,歌手,,,,,2014/4/30 1:49
0313-0319,,,レオレオ,,will.i.amのyoutubeで良かったのは？,will.i.amのyoutubeで良かったのはどれですかー？みんなで情報交換だー！,will.i.am,みんなでわいわい,ヒップホップ,The Black Eyed Peas,,,,2014/4/30 8:26
0313-0319,,,レオレオ,,Wiz Khalifaのよかったアルバムとか！,Wiz Khalifaのよかったアルバムってありますか！？ぜひ語りましょうーー！,Wiz Khalifa,みんなでわいわい,歌手,,,,,2014/4/29 1:53
0313-0319,,,レオレオ,,Wolfmotherのメンバーの中で好きな人！,Wolfmotherのメンバーの中で好きな人は誰ですかー！？選び放題ですね！,Wolfmother,みんなでわいわい,歌手,,,,,2014/4/29 23:01
0313-0319,,,レオレオ,,Wu-Tang Clanの良かった曲とか,Wu-Tang Clanの良かった曲とかをぜひ語り合いましょうー！この曲は良い！とか！,Wu-Tang Clan,みんなでわいわい,歌手,,,,,2014/4/28 20:18
0313-0319,,,レオレオ,,WYCLEF JEANはピンでよかった？,WYCLEF JEANはピンでよかったでしょうか？それともグループでいたときが良かったでしょうか！？,WYCLEF JEAN,みんなでわいわい,ワールドミュージック,,,,,2014/4/28 8:56
0313-0319,,,レオレオ,,ZIGGY MARLEYの似合う髪形とは！？,ZIGGY MARLEYの似合う髪形とはなんですか！？皆さんの独断と偏見で！,ZIGGY MARLEY,みんなでわいわい,ファッション,,,,,2014/4/27 17:36
0313-0319,,,レオレオ,,アルカラの好きな曲はなんですか？,アルカラの好きな曲はなんですか？知っている人がおられましたらぜひ！,アルカラ,みんなでわいわい,歌手,,,,,2014/4/28 18:47
0313-0319,,,レオレオ,,イム・チャンジョンさんは今の顔が好き？,イム・チャンジョンさんは今の顔が好きですか？それとも前の顔が好きですか？,イム・チャンジョン,みんなでわいわい,歌手,,,,,2014/4/28 14:29
0313-0319,,,レオレオ,,メジャーに行かないのか、いけないのか？,メジャーに行かないのか、行かないのか。インディーズにいるメリットって何かあるんですか？,インディーズ,ご意見求む,インディーズ,,,,,2014/4/28 10:23
0313-0319,,,アメリカザリガニ,,テクノ曲が作りたいです,テクノ系のイイカンジの曲作ってみたいのですが、どうやって作ったらいいですか？教えてください！,ダンス/ハウス/テクノ,今すぐ教えて！,テクノ,,,,,2014/4/27 22:02
0313-0319,,,アメリカザリガニ,,テクノの入門としておすすめを,テクノ曲の入門としておすすめありませんか？ちょっと古めの曲だと嬉しいです。,ダンス/ハウス/テクノ,ご意見求む,テクノ,,,,,2014/4/29 12:24
0313-0319,,,アメリカザリガニ,,ハウス曲語りましょう！！！,KENNY BOBIENの曲が好きです！ハウス系好きな人かたってください！！,ダンス/ハウス/テクノ,ゆるーくおしゃべり,ハウス,,,,,2014/4/29 2:24
0313-0319,,,レオレオ,,メタルのお勧めのバンドは？,メタルバンドのお勧めのバンドを教えてください！邦楽でも洋楽でもどっちでもOKです！,ハードロック/メタル,今すぐ教えて！,ハードロック,メタル,,,,2014/4/28 8:55
0313-0319,,,レオレオ,,ちゃんとハードロックしてるバンドを教えてください！,"最近のバンドでしっかりハードロックしているバンドを教えてください！
洋楽でお願いします！",ハードロック/メタル,今すぐ教えて！,ハードロック,メタル,,,,2014/4/29 22:55
0313-0319,,,レオレオ,,ここ最近のメタルバンドのお勧め,"最近のメタルバンドのお勧めの曲を教えてください！
洋楽でも邦楽でもどっちでもいいです！",ハードロック/メタル,今すぐ教えて！,ハードロック,メタル,,,,2014/4/30 2:06
0313-0319,,,レオレオ,,昔と今のハードロックではどっちがいい？,"昔と現代ハードロックってかなり違うように感じますけど、どっちが好みの人が多いんでしょうか？
みなさんの意見をください！",ハードロック/メタル,ご意見求む,ハードロック,メタル,,,,2014/4/28 21:38
0313-0319,,,レオレオ,,最近のバンドのパフォーマンスってどうなの？,"ライブでのパフォーマンスって最近のバンドはどうなんでしょうか？
派手なバンドはいますか？意見をください",ハードロック/メタル,ご意見求む,ハードロック,メタル,,,,2014/4/29 3:38
0313-0319,,,レオレオ,,オアシスのデモカセットが復刻！,"オアシスのデビュー前のデモカセットが復刻版で発売決定です！
1993年の物で当時はわずか8本しかなかった超レアな物。見逃せません！",ハードロック/メタル,ＰＲさせて,ハードロック,メタル,,,,2014/4/29 4:31
0313-0319,,,レオレオ,,ハイジさんってビジュアル系バンドですよね,ハイジさんって、ビジュアル系バンドという奴ですよね？ビジュアル系バンドってどう思いますか？,ハイジ,みんなでわいわい,レゲエ,,,,,2014/4/30 4:32
0313-0319,,,レオレオ,,パスピエさんのツアーって,パスピエさんって、今度ツアーをされますよね。とても行きたかったです。対バンはまぁまぁ豪華ですね。,パスピエ,みんなでわいわい,歌手,,,,,2014/4/28 15:40
0313-0319,,,アレグロ♪,,ラウドロックの決定版,"「SHOUT！」っていうアルバムを勧められました。
どの曲がいいですか？ラウドロック、あまり知らないので教えてください。",パンク/ラウドロック,みんなでわいわい,パンク,ラウドロック,,,,2014/4/28 11:38
0313-0319,,,レオレオ,,ライブが音源よりも良いバンドを教えて！,"ライブの演奏が音源よりもカッコいいバンドを教えてください！
お勧めの映像なんかもあったらお願いします！",パンク/ラウドロック,今すぐ教えて！,パンク,ラウドロック,,,,2014/4/28 13:43
0313-0319,,,レオレオ,,お勧めのラウドロックを教えて！,"お勧めのラウドロックの曲を教えてください！
いいアルバムなんかもあったら一緒にお願いします！",パンク/ラウドロック,今すぐ教えて！,パンク,ラウドロック,,,,2014/4/29 2:05
0313-0319,,,レオレオ,,聴く人を選びそうなバンドを教えてください！,聴く人を選びそうなバンドを教えてください！細かいジャンルは指定しません！,パンク/ラウドロック,今すぐ教えて！,パンク,ラウドロック,,,,2014/4/27 23:39
0313-0319,,,レオレオ,,初心者も入りやすいバンドは？,"初心者に勧めやすいこのジャンルのバンドってどこがありますか？
よさそうな曲も一緒にお願いします！",パンク/ラウドロック,今すぐ教えて！,パンク,ラウドロック,,,,2014/4/28 13:15
0313-0319,,,レオレオ,,今年売れそうなバンドは？,"今年一気に来そうな予感のあるバンドってありますか？
皆さんの意見を下さい！",パンク/ラウドロック,ご意見求む,パンク,ラウドロック,,,,2014/4/27 20:26
0313-0319,,,レオレオ,,もっと増えてほしい感じのバンドは？,"もっとこういう感じの活動をする、方向性のバンドが増えてほしいっていうのは
ありますか？皆さんの意見ください！",パンク/ラウドロック,ご意見求む,パンク,ラウドロック,,,,2014/4/30 7:02
0313-0319,,,レオレオ,,聴きこむようになる基準は？,"聴きこもうと思う基準って何かありますか？
逆にこれがあるから聴きこまないっていうのはあるんでしょうか？",パンク/ラウドロック,ご意見求む,パンク,ラウドロック,,,,2014/4/27 19:35
0313-0319,,,レオレオ,,好きなバンドの傾向ってありますか？,"好きになるバンドの傾向って何かありますか？
みなさんはどんな感じのバンドを好んで聞くんでしょうか？",パンク/ラウドロック,ご意見求む,パンク,ラウドロック,,,,2014/4/29 19:21
0313-0319,,,レオレオ,,このジャンルにハマった切っ掛けは？,"このジャンルにハマった切っ掛けってなんでしたか？
普通にラジオで流れている頻度もちょっと前まで少なかったですよね",パンク/ラウドロック,ご意見求む,パンク,ラウドロック,,,,2014/4/30 3:15
0313-0319,,,レオレオ,,ライブに行けるならどのバンドに行きたい？,"今ライブに行けるならどのバンドのライブに行きたいですか？
解散していないバンドだったらどこがいいのでしょう？意見ください！",パンク/ラウドロック,ご意見求む,パンク,ラウドロック,,,,2014/4/28 1:31
0313-0319,,,レオレオ,,あの人の声が手に入るなら、誰の声が欲しい？,"もしも思い通りの人の声が手に入るならだれの声が欲しいですか？
皆さんの意見を下さい！",パンク/ラウドロック,ご意見求む,パンク,ラウドロック,,,,2014/4/30 4:57
0313-0319,,,レオレオ,,カラオケで歌ったら意外といけそうだった曲を挙げていく,"カラオケでダメ元で歌ったら意外と歌える、歌えそうな曲を挙げていきましょう！
今度行ったときに歌ってみるのもいいかもしれませんね。",パンク/ラウドロック,ＰＲさせて,パンク,ラウドロック,,,,2014/4/29 21:43
0313-0319,,,アメリカザリガニ,,日本語のヒップホップについて,日本語のヒップホップってあまり好きじゃないのですけど、日本語ヒップホップの良さをおしえてください。,ヒップホップ,ご意見求む,ヒップホップ,,,,,2014/4/30 3:34
0313-0319,,,アメリカザリガニ,,ヒップホップの名曲といえば,個人的にはChildren'sStoryが名曲だと思ってます。皆さんが思う名曲ってなんだとおもいますか？,ヒップホップ,ご意見求む,ヒップホップ,,,,,2014/4/29 5:44
0313-0319,,,アメリカザリガニ,,slick rickの曲,Children's Storyの他にどんな曲がありましたっけ？ど忘れしてしまったのでおしえてください。,ヒップホップ,今すぐ教えて！,ヒップホップ,,,,,2014/4/29 14:11
0313-0319,,,アメリカザリガニ,,HIPHOPの大会,HIPHOPの大会とかってあるんですか？気になるのでぜひ教えてください！,ヒップホップ,今すぐ教えて！,ヒップホップ,,,,,2014/4/29 9:39
0313-0319,,,レオレオ,,ベッキーさんってオールマイティ,ベッキーさんって、歌手にタレントに女優に、たくさんのことをこなしていてすごいなと思います。どう思いますか？,ベッキー,みんなでわいわい,J-POP,,,,,2014/4/29 14:25
0313-0319,,,レオレオ,,モーニング娘。誰が好き？,"新旧関係なしに一番好きなメンバーは誰ですか？
懐かしさをこらえて語りましょう！",モーニング娘。,みんなでわいわい,アイドル,,,,,2014/4/29 17:52
0313-0319,,,レオレオ,,モーニング娘。で一番いい曲は？,"一期から現在までで一番お勧めないい曲を教えてください！
当時もあまり聞かなかったのでお願いします！",モーニング娘。,今すぐ教えて！,アイドル,,,,,2014/4/28 2:11
0313-0319,,,レオレオ,,モーニング娘。はもういっかい来る？,"新になってからちょっと経ちますが、もう一回ブームは来ると思いますか？
意見ください！",モーニング娘。,ご意見求む,アイドル,,,,,2014/4/29 11:42
0313-0319,,,アレグロ♪,,今夏のフェス　オススメは？,"やっと暖かくなってきました！
これから夏に向けて、オススメのフェスを教えてください！",ライブ/フェス好き,ゆるーくおしゃべり,ライブ,,,,,2014/4/29 15:03
0313-0319,,,レオレオ,,ラガラボMUSIQさんの写真の・・・,ラガラボMUSIQさんのプロフィールの写真なんですけど、真ん中の方ってオシャレですよね！,ラガラボMUSIQ,みんなでわいわい,レゲエ,,,,,2014/4/27 17:12
0313-0319,,,レオレオ,,SKAのかっこいバンド教えて！,"邦楽でカッコいいSKAバンドを教えてください！
好きだったバンドが解散したんで新しいバンドを探してます。",レゲエ/SKA,今すぐ教えて！,SKA,,,,,2014/4/29 17:02
0313-0319,,,レオレオ,,気になってるけど聴いてない曲を聴いてみるスレ,"気になってたけどずっと聴いてなかった曲を聴いて挙げていきましょう。
こんな機会でもないと語る機会もないですし。",ワールドミュージック,ゆるーくおしゃべり,ワールドミュージック,,,,,2014/4/29 18:09
0313-0319,,,レオレオ,,インスト系でおすすめの曲,インスト系でおすすめの曲を教えてください！メロディラインがカッコいい曲が聞いてみたいです！,ワールドミュージック,今すぐ教えて！,ワールドミュージック,,,,,2014/4/28 3:47
0313-0319,,,レオレオ,,弦楽器でおすすめの曲を教えて！,"弦楽器メインの曲のお勧めを教えてください！
国はどこでもOKです！",ワールドミュージック,今すぐ教えて！,ワールドミュージック,,,,,2014/4/28 14:33
0313-0319,,,アメリカザリガニ,,ワールド・ミュージックのお店,ワールド・ミュージックを専門に扱っているお店をおしえていただけませんか？できれば関東でお願いします。,ワールドミュージック,ご意見求む,ワールドミュージック,,,,,2014/4/28 2:57
0313-0319,,,アメリカザリガニ,,ワールド・ミュージックが聞きたいです,ワールド・ミュージックをラジオで聞きたいのですが、何か良いアプリとかご存知ないでしょうか？,ワールドミュージック,ご意見求む,ワールドミュージック,,,,,2014/4/28 10:54
0313-0319,,,アメリカザリガニ,,ワールド・ミュージックのラジオが聞けるサイト,web上でワールド・ミュージックのラジオがきけるサイト探してます。おすすめのサイトありませんか(；一_一),ワールドミュージック,今すぐ教えて！,ワールドミュージック,,,,,2014/4/29 20:44
0313-0319,,,アメリカザリガニ,,おすすめミュージシャン,おすすめのミュージシャン教えてください！ヽ(=´▽`=)ﾉ自分はLeahyが好きです！,ワールドミュージック,ゆるーくおしゃべり,ワールドミュージック,,,,,2014/4/27 23:24
0313-0319,,,レオレオ,,使ってる再生アプリを語る,"スマホなどで使ってる再生アプリってどんなものが良いんでしょうか？
皆さんの意見を下さい！",一押しアプリ/サイト,ご意見求む,すごすぎる,,,,,2014/4/28 19:45
0313-0319,,,アレグロ♪,,映画音楽ならコレ！って曲,"印象に残る曲、思い出深い曲って何ですか？
皆さんのご意見、たくさん聞きたいです。",映画音楽好き,ゆるーくおしゃべり,映画,,,,,2014/4/30 7:51
0313-0319,,,アレグロ♪,,映画を見た後で聴く主題歌。,"私、映画を見終わった後にエンドロールをバックに流れる曲を聴くのが好きです。
映画館は音響が最高！映画と合わせて、とっても幸せな気分に浸れます。",映画音楽好き,ゆるーくおしゃべり,映画,,,,,2014/4/30 0:59
0313-0319,,,レオレオ,,エレクトロっぽい映画のサントラを教えて！,"エレクトロ物っぽい音が多い映画のサントラを教えてください！
未来ものとかそういう映画になるんでしょうか？",映画音楽好き,今すぐ教えて！,映画,,,,,2014/4/29 15:38
